Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,90986.101563,90986.101563,88650.398438,88865.000000,88865.000000,747912500
2019-01-03,88375.898438,89544.601563,87399.000000,87399.000000,87399.000000,930991400
2019-01-04,87894.203125,89121.101563,87894.203125,88830.796875,88830.796875,890737800
2019-01-07,89444.703125,90227.898438,89280.796875,89951.101563,89951.101563,942407200
2019-01-08,90247.898438,90776.101563,89362.398438,90697.000000,90697.000000,952200200
2019-01-09,91031.601563,91419.398438,90591.398438,91156.898438,91156.898438,1098307300
2019-01-10,91226.398438,91845.796875,90694.703125,91196.296875,91196.296875,985925900
2019-01-11,91503.296875,92028.500000,91262.500000,91687.000000,91687.000000,885046700
2019-01-14,90825.398438,92053.796875,90388.398438,92053.796875,92053.796875,909152100
2019-01-15,92627.601563,93303.203125,92478.398438,93173.296875,93173.296875,1248208200
2019-01-16,93365.203125,95440.601563,93023.500000,95411.500000,95411.500000,1621354100
2019-01-17,95499.796875,97354.898438,95161.296875,96817.398438,96817.398438,1789777700
2019-01-18,97192.898438,98662.203125,97046.000000,98454.898438,98454.898438,1394067000
2019-01-21,98627.500000,99828.703125,97634.898438,97955.203125,97955.203125,1513430100
2019-01-22,97990.898438,99677.101563,97856.101563,99677.101563,99677.101563,1566602700
2019-01-23,99737.500000,100488.101563,99059.898438,100141.000000,100141.000000,1471425300
2019-01-24,100453.796875,101774.296875,100314.703125,101774.296875,101774.296875,1549507300
2019-01-25,102122.898438,102319.898438,101199.601563,101801.398438,101801.398438,1308643400
2019-01-28,101822.796875,102807.500000,101240.500000,101289.796875,101289.796875,1238738200
2019-01-29,101358.796875,104098.398438,101077.101563,104098.398438,104098.398438,1491618500
2019-01-30,104154.203125,104793.101563,103549.898438,104189.500000,104189.500000,1595163900
2019-01-31,105478.101563,105930.203125,103408.796875,104074.203125,104074.203125,1819457500
2019-02-01,104061.000000,104371.500000,102648.101563,102937.101563,102937.101563,1385204600
2019-02-04,103078.500000,103554.500000,101988.703125,102255.000000,102255.000000,1081186200
2019-02-05,102765.101563,103852.101563,101755.601563,102448.398438,102448.398438,1491164400
2019-02-06,102899.203125,103089.203125,101620.500000,102584.296875,102584.296875,1419536000
2019-02-07,102752.796875,102937.203125,101945.398438,102784.000000,102784.000000,1377661200
2019-02-08,102494.898438,102742.398438,102119.203125,102451.703125,102451.703125,1065866600
2019-02-11,103287.601563,104656.601563,103280.398438,104394.703125,104394.703125,1256430700
2019-02-12,104652.796875,104977.398438,103364.500000,103762.500000,103762.500000,1406056200
2019-02-13,104339.000000,104455.101563,101645.796875,101645.796875,101645.796875,1500407800
2019-02-14,101923.601563,102616.601563,100749.601563,102130.000000,102130.000000,1588454300
2019-02-15,102070.898438,102978.398438,101186.601563,102715.000000,102715.000000,1259472100
2019-02-18,102866.796875,103131.203125,101728.500000,101728.500000,101728.500000,1226790000
2019-02-19,101845.203125,101978.898438,100713.101563,101742.101563,101742.101563,1142214500
2019-02-20,101990.398438,102543.000000,101618.101563,101971.296875,101971.296875,1084499000
2019-02-21,102033.898438,102893.500000,101695.398438,102494.000000,102494.000000,1038998000
2019-02-22,102839.796875,103468.101563,102612.000000,103185.703125,103185.703125,1151034000
2019-02-25,103875.000000,105145.898438,103875.000000,104330.101563,104330.101563,1659939000
2019-02-26,104261.296875,105082.296875,103941.898438,105082.296875,105082.296875,1471113000
2019-02-27,105117.500000,105269.398438,104117.203125,104141.000000,104141.000000,1499660000
2019-02-28,104247.601563,105069.601563,104128.000000,104529.898438,104529.898438,1292606100
2019-03-01,104689.898438,104832.898438,102956.703125,103266.601563,103266.601563,1344142300
2019-03-04,103564.101563,104617.000000,103475.203125,104193.296875,104193.296875,1303877200
2019-03-05,103933.601563,104832.203125,103459.796875,103730.601563,103730.601563,1952914800
2019-03-06,104026.101563,104866.601563,103365.101563,103452.898438,103452.898438,1504941000
2019-03-07,103853.601563,104194.203125,102264.000000,102282.703125,102282.703125,1483277200
2019-03-08,102337.296875,102463.703125,100873.601563,101538.296875,101538.296875,1132467300
2019-03-11,101887.000000,102342.796875,100651.703125,100850.398438,100850.398438,1071160100
2019-03-12,101465.101563,102068.703125,100919.203125,101721.101563,101721.101563,1132470500
2019-03-13,101820.796875,102532.296875,101143.000000,102196.601563,102196.601563,1183015500
2019-03-14,102298.203125,102785.796875,102009.601563,102432.296875,102432.296875,1185448000
2019-03-15,102890.898438,103380.398438,102643.500000,103304.101563,103304.101563,1460002500
2019-03-18,103785.101563,104882.796875,103785.101563,104594.703125,104594.703125,1363867600
2019-03-19,104664.101563,105929.101563,104154.398438,104861.601563,104861.601563,1621406100
2019-03-20,104806.601563,105098.796875,103181.203125,103310.203125,103310.203125,1798224600
2019-03-21,103836.000000,104248.296875,102534.101563,103407.796875,103407.796875,1503728400
2019-03-22,103653.500000,103755.796875,99652.398438,99835.296875,99835.296875,1732054700
2019-03-25,100027.500000,100381.703125,98367.101563,99325.898438,99325.898438,1578137700
2019-03-26,99990.500000,100260.101563,97153.898438,97378.601563,97378.601563,1420830900
2019-03-27,97820.703125,97998.398438,90523.898438,91855.101563,91855.101563,1947469700
2019-03-28,91181.601563,93744.296875,90776.796875,92120.296875,92120.296875,1977513800
2019-03-29,92499.000000,94247.000000,91904.398438,93784.203125,93784.203125,1239216500
2019-04-01,93908.398438,95117.500000,91864.500000,94101.296875,94101.296875,1564041600
2019-04-02,93635.101563,95352.203125,93132.296875,93533.101563,93533.101563,1206816300
2019-04-03,94158.601563,94891.296875,94041.500000,94441.101563,94441.101563,1051197200
2019-04-04,94477.898438,98336.898438,94297.296875,98336.898438,98336.898438,1451597500
2019-04-05,98963.203125,99214.101563,97422.203125,98783.398438,98783.398438,1405912200
2019-04-08,98978.898438,99076.898438,96735.601563,96978.296875,96978.296875,1062195200
2019-04-09,97956.703125,98748.296875,97496.898438,98135.296875,98135.296875,1244884300
2019-04-10,98404.703125,98456.101563,96912.500000,97015.000000,97015.000000,1174382800
2019-04-11,97227.203125,97530.898438,96021.796875,96073.000000,96073.000000,1014029300
2019-04-12,95721.703125,96168.500000,95028.500000,95976.796875,95976.796875,841609200
2019-04-15,95760.296875,96531.398438,95191.703125,95191.703125,95191.703125,742416200
2019-04-16,95676.898438,97102.101563,95676.898438,96809.000000,96809.000000,1041918900
2019-04-17,97347.398438,98662.000000,97297.703125,98203.203125,98203.203125,1153602300
2019-04-18,97911.898438,97912.101563,96623.703125,96886.500000,96886.500000,1092009000
2019-04-19,97082.000000,97293.101563,96737.500000,96861.398438,96861.398438,0
2019-04-22,96389.796875,96452.296875,95899.500000,95952.796875,95952.796875,694016500
2019-04-23,null,null,null,null,null,null
2019-04-24,95821.398438,96537.203125,95821.398438,96142.203125,96142.203125,1087118800
2019-04-25,96351.101563,96457.101563,93891.703125,94498.500000,94498.500000,1189796000
2019-04-26,94886.796875,95144.796875,94046.203125,94783.101563,94783.101563,934752500
2019-04-29,95039.796875,95113.898438,94236.703125,94535.101563,94535.101563,1052504200
2019-04-30,94736.101563,95730.203125,94736.101563,95415.601563,95415.601563,1297342300
2019-05-01,null,null,null,null,null,null
2019-05-02,95729.796875,96050.500000,93919.703125,94179.398438,94179.398438,1158921900
2019-05-03,94245.398438,94395.898438,93475.703125,93946.101563,93946.101563,890827800
2019-05-06,93026.398438,93076.203125,91541.203125,92982.296875,92982.296875,1092385400
2019-05-07,90801.296875,91926.703125,90698.203125,91482.500000,91482.500000,1194700800
2019-05-08,90767.703125,91600.601563,89734.398438,90272.203125,90272.203125,1227434600
2019-05-09,90312.500000,90696.601563,88647.601563,88685.898438,88685.898438,1055191700
2019-05-10,89480.398438,89855.500000,88315.500000,88533.398438,88533.398438,1063411400
2019-05-13,88628.703125,88740.703125,85446.601563,86282.500000,86282.500000,1385353700
2019-05-14,86615.398438,88022.898438,86044.296875,88022.898438,88022.898438,1308850200
2019-05-15,88070.000000,88115.703125,86043.101563,87380.398438,87380.398438,1089509000
2019-05-16,87664.500000,88530.500000,87088.398438,87203.898438,87203.898438,1139881000
2019-05-17,86944.898438,87518.601563,86551.703125,86796.101563,86796.101563,1086051200
2019-05-20,86895.000000,87116.398438,86520.601563,86771.500000,86771.500000,980649300
2019-05-21,86943.398438,87153.703125,84976.601563,85309.601563,85309.601563,1118827300
2019-05-22,85041.898438,85580.296875,83675.296875,83675.296875,83675.296875,1049678000
2019-05-23,83535.296875,84711.796875,83535.296875,84596.203125,84596.203125,976009400
2019-05-24,84989.203125,86496.296875,84985.898438,86072.296875,86072.296875,1256146800
2019-05-27,86505.601563,86945.203125,85309.703125,85545.398438,85545.398438,835243600
2019-05-28,86099.500000,87728.796875,86099.500000,86777.601563,86777.601563,1176374100
2019-05-29,86932.703125,87769.398438,86558.796875,87186.296875,87186.296875,970750300
2019-05-30,88032.203125,90011.601563,88032.203125,90011.601563,90011.601563,1267442500
2019-05-31,89824.796875,90589.703125,88975.101563,90589.703125,90589.703125,992241100
2019-06-03,90335.601563,90867.101563,89820.000000,90345.601563,90345.601563,338123800
2019-06-04,null,null,null,null,null,null
2019-06-05,null,null,null,null,null,null
2019-06-06,null,null,null,null,null,null
2019-06-07,90566.398438,93809.101563,90295.703125,93809.101563,93809.101563,982913100
2019-06-10,93761.500000,94448.203125,93013.898438,94103.101563,94103.101563,1383653600
2019-06-11,94339.500000,94589.296875,92654.296875,92825.601563,92825.601563,1284667600
2019-06-12,92737.296875,93614.398438,92402.101563,92605.796875,92605.796875,1130723900
2019-06-13,92172.898438,92172.898438,90501.500000,90501.500000,90501.500000,1076708700
2019-06-14,90842.796875,91322.703125,90024.101563,90787.000000,90787.000000,969985000
2019-06-17,90475.500000,92565.500000,90392.101563,92249.796875,92249.796875,1162282600
2019-06-18,92309.703125,94251.796875,92083.000000,94218.703125,94218.703125,1285943000
2019-06-19,94006.500000,94774.398438,93317.101563,94244.101563,94244.101563,1377446300
2019-06-20,95226.703125,95954.796875,94038.296875,94157.703125,94157.703125,1762550700
2019-06-21,94033.601563,94377.796875,93025.000000,94022.296875,94022.296875,1083048900
2019-06-24,96039.500000,96211.796875,94897.500000,95182.500000,95182.500000,1192550600
2019-06-25,95066.500000,95994.500000,94619.203125,95421.101563,95421.101563,1204923700
2019-06-26,95534.296875,95847.601563,94519.101563,94831.203125,94831.203125,978054500
2019-06-27,95256.500000,95990.101563,95256.500000,95573.101563,95573.101563,1111912100
2019-06-28,95821.203125,96650.296875,95532.203125,96485.296875,96485.296875,964166500
2019-07-01,98662.898438,99970.601563,98374.500000,99735.703125,99735.703125,1738852100
2019-07-02,99817.898438,100341.601563,99178.898438,100201.000000,100201.000000,1521782900
2019-07-03,100452.796875,100500.796875,99142.703125,99363.296875,99363.296875,1254651400
2019-07-04,99731.000000,100008.703125,98527.296875,99382.203125,99382.203125,1027924600
2019-07-05,99427.601563,100447.500000,99261.898438,99634.796875,99634.796875,1338002100
2019-07-08,98106.000000,99100.203125,97891.000000,98695.398438,98695.398438,1220814100
2019-07-09,98724.796875,99115.101563,96783.898438,96811.203125,96811.203125,1401614600
2019-07-10,96840.601563,98699.101563,96271.000000,98585.296875,98585.296875,1381628500
2019-07-11,99428.000000,99726.500000,98932.500000,99406.398438,99406.398438,1089883600
2019-07-12,99460.703125,99870.601563,96855.203125,97098.296875,97098.296875,1270196000
2019-07-15,null,null,null,null,null,null
2019-07-16,97860.398438,98753.296875,97633.898438,98028.500000,98028.500000,975012000
2019-07-17,98421.601563,99920.398438,98039.500000,99806.203125,99806.203125,1160726900
2019-07-18,99716.703125,101844.601563,99388.101563,101566.296875,101566.296875,1340188700
2019-07-19,102382.398438,102881.898438,101665.203125,101849.203125,101849.203125,1396432700
2019-07-22,101812.296875,102147.000000,100846.796875,101088.703125,101088.703125,990761800
2019-07-23,101223.703125,102917.398438,101086.500000,102556.203125,102556.203125,1242038700
2019-07-24,102809.796875,103457.296875,101769.296875,103457.296875,103457.296875,1211281800
2019-07-25,103676.296875,104153.898438,101604.601563,102045.000000,102045.000000,1592650500
2019-07-26,102272.101563,103259.101563,101546.203125,102837.203125,102837.203125,1038103300
2019-07-29,103146.703125,103526.296875,102524.101563,103373.101563,103373.101563,915809900
2019-07-30,103519.296875,103552.703125,101969.601563,102686.101563,102686.101563,1116529400
2019-07-31,103058.703125,103066.296875,101539.703125,102082.500000,102082.500000,1092538300
2019-08-01,101342.203125,102183.398438,101093.000000,101900.296875,101900.296875,1007608500
